Title,ID,budget,revenue,popularity,runtime,vote_average,vote_count
The Basketball Diaries,10474,2000000,2381087,33.263,102,7.386,1712
This Boy's Life,8092,0,4104962,11.873,115,7.103,856
The Disaster Artist,371638,10000000,29820616,10.772,104,7.1,3231
Amistad,11831,36000000,44229441,3.008,155,6.996,1132
The People vs. Larry Flynt,1630,36000000,20300385,9.479,130,6.954,944
Frida,1360,12000000,56298474,14.908,123,7.43,1854
Snowden,302401,40000000,37357216,13.592,134,7.102,3975
Official Secrets,393624,0,0,11.32,112,7.24,795
Woman in Gold,304357,11000000,61619773,8.998,109,7.328,1264
Invictus,22954,60000000,122426792,12.255,134,7.19,3742
"Good Morning, Vietnam",801,13000000,123922370,14.709,121,7.337,2328
Hababam Sinifi,83651,0,0,4.824,87,7.9,113
La vita ï¿½ bella,637,20000000,230098753,36.024,116,8.455,11858
Back to the Future,105,19000000,381109762,58.496,116,8.3,17874
The Intouchables,77338,13000000,426588510,41.178,113,8.275,15675
Modern Times,3082,1500000,0,16.073,87,8.305,3261
City Lights,901,1500000,4250000,11.044,87,8.336,1855
Spider-Man: Into the Spider-Verse,324857,90000000,375464627,92.803,117,8.407,12672
Coco,354912,175000000,800526015,82.423,105,8.225,17151
3 Idiots,20453,9000000,70000000,25.077,170,7.983,2066
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,935,1800000,9523464,19.893,95,8.1,4929
The Great Dictator,914,2000000,11000000,14.212,125,8.346,2913
Dil Bechara,645484,3025,0,6.877,101,6.813,75
Toy Story,862,30000000,373554033,89.439,81,7.969,16648
Up,14160,175000000,735099082,67.745,96,7.9,18355
The Sting,9277,5500000,159616327,13.528,129,8.018,2226
Toy Story 3,10193,200000000,1066969703,59.698,103,7.791,13411
Singin' in the Rain,872,2540800,7200000,14.402,103,8.165,2732
The Apartment,284,3000000,25000000,19.269,125,8.225,1923
The Kid,4244,65000000,110317580,13.147,104,6.474,824
Chhichhore,596650,6825000,29353057,8.314,146,7.692,104
The Wolf of Wall Street,106646,100000000,392000000,123.768,180,8.037,21503
Green Book,490132,23000000,319700000,43.691,130,8.24,10066
The Truman Show,37165,60000000,264118201,46.804,103,8.129,16161
Snatch,107,10000000,83557872,28.161,103,7.803,7999
Inside Out,150540,175000000,857611174,71.585,95,7.9,18976
Finding Nemo,12,94000000,940335536,69.191,100,7.823,17617
"Lock, Stock and Two Smoking Barrels",100,1350000,28356188,12.227,105,8.134,5898
Some Like It Hot,239,2883848,25000000,21.3,122,8.12,3024
Monty Python and the Holy Grail,762,400000,1940906,15.643,91,7.804,5085
Gangs of Wasseypur,117691,1400000,4100000,10.322,160,7.158,306
Klaus,508965,0,0,21.242,96,8.261,3371
Zindagi Na Milegi Dobara,61202,7700000,160000000,7.915,166,7.509,290
To Be or Not to Be,198,1200000,1500000,8.886,99,7.902,579
Sherlock Jr.,992,0,0,7.584,45,8.116,799
The Grand Budapest Hotel,120467,30000000,174600318,24.731,100,8.056,13333
"Three Billboards Outside Ebbing, Missouri",359940,15000000,160192031,17.841,115,8.091,9162
The Big Lebowski,115,15000000,46969409,25.68,117,7.844,10069
Ratatouille,2062,150000000,623726000,121.226,111,7.798,15213
Dead Poets Society,207,16400000,235860116,27.109,128,8.317,9932
"Monsters, Inc.",585,115000000,579707738,114.513,92,7.83,16721
How to Train Your Dragon,10191,165000000,494879471,62.1,98,7.806,11753
Groundhog Day,137,14600000,71074049,24.232,101,7.603,6958
Tonari no Totoro,8392,3700000,45000000,51.324,86,8.068,6806
Relatos salvajes,265195,4000000,27007072,13.199,122,7.858,2937
The Iron Giant,10386,70000000,23159305,37.237,86,7.922,4919
Mary and Max.,24238,8240000,1740429,8.54,92,7.856,1693
It Happened One Night,3078,325000,4500000,8.789,105,7.9,1026
Paper Moon,11293,2500000,30900000,7.246,102,7.872,591
PK,297222,13000000,120000000,8.654,153,7.704,842
Hera Pheri,21614,0,0,6.04,156,7.0,201
Bajrangi Bhaijaan,348892,13000000,150000000,11.424,159,7.829,403
Underground,80195,0,0,2.753,83,4.6,22
Mr. Smith Goes to Washington,3083,1500000,9600000,9.408,129,7.9,881
The General,961,750000,1000000,9.157,79,8.007,1029
The Gold Rush,962,923000,4000000,12.098,89,8.029,1358
Munna Bhai M.B.B.S.,19625,0,0,6.606,156,7.171,245
Dil Chahta Hai,14752,2079000,4099000,7.696,183,6.876,241
Dom za vesanje,20123,0,0,8.154,142,7.7,308
Rang De Basanti,7913,2200000,11502151,7.803,157,7.153,372
Barfi!,127501,4437508,2804874,7.667,151,7.484,275
Queen,247645,1900000,17000000,6.764,146,7.376,230
Sholay,12259,408000,4800000,9.794,204,7.0,224
Jean de Florette,4480,4940939,0,7.101,120,7.677,467
The Circus,28978,9000000,0,9.502,72,8.023,677
OMG: Oh My God!,135718,0,0,10.128,125,7.3,182
Everything Everywhere All at Once,545611,25000000,139200000,82.664,140,7.849,4565
La La Land,313369,30000000,447407695,26.345,129,7.891,15205
Guardians of the Galaxy,447365,250000000,35000000,1529.948,150,8.461,331
CODA,776503,10000000,1600000,37.147,112,7.999,1799
Deadpool,293660,58000000,783100000,93.619,108,7.603,28304
Zootopia,269149,150000000,1023784195,65.138,109,7.747,14848
Do the Right Thing,925,6500000,37295445,14.029,120,7.76,1479
Soul,508442,150000000,136384442,84.411,101,8.154,9053
Aladdin,812,28000000,504050219,48.761,95,7.645,10275
The Graduate,37247,3000000,104945305,17.877,106,7.7,2909
Young Frankenstein,3034,2800000,86273333,14.752,106,7.919,2775
Roman Holiday,804,1500000,12000000,19.889,119,7.891,1735
Chung Hing sam lam,11104,160000,0,20.293,103,8.015,1416
Life of Brian,583,4000000,20745728,18.178,94,7.755,3838
Being There,10322,0,30177511,9.347,130,7.6,821
Annie Hall,703,4000000,38251425,12.821,93,7.767,3445
La dolce vita,439,0,19647000,12.136,176,8.145,1628
Secrets & Lies,11159,4500000,13417292,8.846,142,7.585,515
Stalag 17,632,1661530,0,8.72,120,7.725,501
Yeopgijeogin geunyeo,11178,0,0,15.036,123,7.5,479
"Crna macka, beli macor",1075,0,0,9.609,127,7.675,633
The Shop Around the Corner,20334,0,0,25.989,99,8.304,603
Kind Hearts and Coronets,11898,0,0,10.569,104,7.685,441
Andaz Apna Apna,58128,0,0,6.999,160,6.948,181
G.O.R.A.,27275,0,0,7.648,127,7.3,277
Vizontele,57892,0,0,4.747,110,7.2,138
Lage Raho Munna Bhai,21461,1800000,31517561,6.366,144,7.247,170
Puss in Boots: The Last Wish,315162,90000000,480000000,1081.528,103,8.293,5426
Knives Out,546554,40000000,309232797,52.251,131,7.853,10661
In Bruges,8321,15000000,34533783,17.092,108,7.475,4483
Almost Famous,786,60000000,47386287,11.827,124,7.491,2362
Jojo Rabbit,515001,14000000,82468705,58.07,108,8.056,8381
Shrek,808,60000000,487853320,159.22,90,7.722,15245
Thor: Ragnarok,284053,180000000,855301806,65.237,131,7.599,19033
Fantastic Mr. Fox,10315,40000000,46471023,25.65,87,7.776,4539
The Blues Brothers,525,27000000,115229890,15.604,133,7.745,3696
Shaun of the Dead,747,6100000,30097092,29.063,99,7.536,7482
Toy Story 2,863,90000000,497366869,67.704,92,7.585,12530
This Is Spinal Tap,11031,2500000,4736202,11.336,82,7.467,1210
The Artist,74643,15000000,133432856,9.212,100,7.4,2945
Charade,4808,4000000,13475000,11.38,113,7.693,1167
Harold and Maude,343,1200000,0,15.24,91,7.634,926
Sing Street,369557,4000000,13624522,15.965,106,7.888,2062
A Christmas Story,850,3300000,20653717,12.521,93,7.295,1084
The Philadelphia Story,981,0,0,10.789,113,7.7,728
Kal Ho Naa Ho,4254,0,0,9.449,186,7.42,323
Jab We Met,11807,2300000,4600000,8.059,138,7.321,223
Arsenic and Old Lace,212,1120175,0,7.945,118,7.6,783
The Thin Man,3529,226408,1423000,6.854,91,7.5,378
Harvey,11787,0,0,8.105,104,7.69,513
Amarcord,7857,0,0,7.239,123,7.918,957
Mimi,237443,0,0,1.791,94,5.0,3
Miracle on 34th Street,11881,630000,2700000,12.914,96,7.367,615
No Man's Land,34379,8000000,2877571,7.654,106,6.1,81
Sullivan's Travels,16305,700000,1200000,9.552,91,7.495,384
Dev.D,15977,1700000,7600000,8.386,144,6.885,104
C.R.A.Z.Y.,11421,0,3692417,5.559,126,7.5,408
Badhaai ho,547654,4000000,39000000,6.054,125,7.361,115
Padman,373320,0,0,1.221,153,5.8,2
The Banshees of Inisherin,674324,0,41000000,48.01,114,7.513,1717
The Gentlemen,522627,22000000,115171795,33.965,113,7.684,4839
About Time,122906,12000000,87100449,30.88,123,7.909,7533
The Breakfast Club,2108,1000000,51525171,23.01,98,7.76,7259
The Big Short,318846,28000000,133346506,19.477,131,7.336,8049
Ghostbusters,43074,144000000,229147509,26.519,117,5.37,5829
Verdens verste menneske,660120,5000000,11800000,22.282,128,7.575,866
Ferris Bueller's Day Off,9377,6000000,70136369,18.291,103,7.621,4300
Little Miss Sunshine,773,8000000,100523181,10.941,102,7.673,6284
Mary Poppins,433,6000000,103082380,22.952,139,7.569,4219
Hot Fuzz,4638,12000000,80573774,20.447,121,7.546,6705
Back to the Future Part II,165,40000000,332000000,34.881,108,7.752,11462
Captain Fantastic,334533,5000000,23123592,16.997,118,7.917,5866
Moonrise Kingdom,83666,16000000,68263166,11.395,94,7.689,5289
The Sandlot,11528,7000000,34348444,20.419,101,7.509,995
Big Hero 6,177572,165000000,657827828,94.605,102,7.739,14402
The King of Comedy,262,20000000,2536000,15.64,109,7.796,1911
Paddington 2,346648,40000000,227300000,19.768,104,7.465,1984
Being John Malkovich,492,13000000,22863596,16.39,113,7.414,3804
How to Train Your Dragon 2,82702,145000000,621537519,62.703,102,7.668,8702
Isle of Dogs,399174,62770198,64337744,15.533,101,7.862,4250
Hunt for the Wilderpeople,371645,2500000,23915910,11.921,101,7.686,1785
Ed Wood,522,18000000,5887457,13.353,127,7.506,2036
Pride,234200,0,7523634,9.23,122,7.74,1180
Guess Who's Coming to Dinner,1879,4000000,56666667,12.581,108,7.585,711
To Have and Have Not,22584,0,3650000,7.864,100,7.5,434
Bringing Up Baby,900,1073000,0,10.647,102,7.565,832
Manhattan,696,9000000,39946780,9.447,96,7.769,2076
Il postino,11010,0,0,10.764,109,7.944,1022
His Girl Friday,3085,0,0,10.519,92,7.428,691
Hannah and Her Sisters,5143,6400000,40084041,9.5,107,7.5,856
Le charme discret de la bourgeoisie,4593,800000,0,9.376,101,7.535,657
Les choristes,5528,0,0,11.443,97,7.713,2145
You Can't Take It with You,34106,1644736,7433101,8.583,126,7.5,326
Crimes and Misdemeanors,11562,19000000,18254702,10.473,104,7.504,751
Duck Soup,3063,0,0,6.883,69,7.353,658
Knockin' on Heaven's Door,158,0,0,8.507,87,7.646,421
Hindi Medium,456570,3213790,52390000,9.815,132,7.31,142
English Vinglish,118628,2840000,11620000,7.169,134,7.183,224
A Night at the Opera,37719,0,0,7.067,96,7.473,409
Minnal Murali,657644,2800000,0,19.445,158,7.174,278
Vicky Donor,103243,700000,0,4.862,122,6.844,144
Birdman or (The Unexpected Virtue of Ignorance),194662,18000000,103215094,27.665,120,7.469,11901
The Goonies,9340,19000000,61389680,22.83,114,7.516,5076
Deadpool 2,383498,110000000,785896609,75.241,120,7.492,15856
Airplane!,813,3500000,83453539,20.87,88,7.3,3909
Kingsman: The Secret Service,207703,81000000,414351546,82.429,129,7.638,15293
The Hangover,18785,35000000,469310836,68.856,100,7.309,15408
Home Alone,654974,0,0,29.836,93,5.002,503
Tangled,38757,260000000,592461732,113.54,100,7.6,10202
(500) Days of Summer,19913,7500000,60781545,34.398,95,7.268,9084
Lost in Translation,153,4000000,119723856,15.458,102,7.394,6495
"O Brother, Where Art Thou?",134,26000000,71870729,15.94,107,7.328,3632
Druk,580175,5150000,21700000,22.491,117,7.672,2574
Silver Linings Playbook,82693,21000000,236412453,25.694,122,7.124,11076
En man som heter Ove,348678,0,30692889,13.06,116,7.619,962
The Lego Movie,137106,60000000,469160692,25.166,100,7.41,7009
Toy Story 4,301528,175000000,1073394593,62.65,100,7.5,8795
Midnight in Paris,59436,17000000,151119219,14.615,94,7.539,6662
When Harry Met Sally...,639,16000000,92823546,15.405,96,7.4,3515
Blazing Saddles,11072,2600000,119500000,14.549,93,7.29,1593
As Good as It Gets,2898,50000000,314178011,19.747,139,7.393,3336
"South Park: Bigger, Longer & Uncut",9473,21000000,83137603,25.871,81,7.222,2338
Wreck-It Ralph,82690,165000000,471222889,69.264,101,7.324,11272
Who Framed Roger Rabbit,856,70000000,329803958,24.446,104,7.514,5036
Flipped,43949,14000000,1755212,22.28,89,8.0,2570
Naked,433251,0,0,20.667,96,5.735,1162
Good Bye Lenin!,338,4800000,79384880,10.179,121,7.563,2134
Adaptation.,2757,19000000,32801173,11.12,115,7.388,2146
Clerks,2292,27575,3151130,13.079,92,7.425,2181
Evil Dead II,765,3500000,10900000,71.132,84,7.6,2626
The Godfather,238,6000000,245066411,103.4,175,8.712,17849
The Dark Knight,155,185000000,1004558444,72.719,152,8.509,29623
The Godfather Part II,240,13000000,102600000,51.962,202,8.597,10799
12 Angry Men,389,350000,1000000,31.236,97,8.537,7233
Aynabaji,418325,405606,246840,2.443,144,7.7,40
Pulp Fiction,680,8000000,214179088,56.482,154,8.49,25094
Jai Bhim,855400,0,0,6.969,164,7.456,80
GoodFellas,769,25000000,46835000,33.131,145,8.5,11217
The Silence of the Lambs,274,19000000,272742922,9.605,119,8.346,14471
Se7en,807,33000000,327311859,39.407,127,8.367,18709
The Green Mile,497,60000000,286801374,59.087,189,8.508,15351
Cidade de Deus,598,3300000,30641770,27.823,130,8.424,6439
The Departed,1422,90000000,291465000,27.717,151,8.166,13369
Lï¿½on,578672,0,0,5.737,107,5.6,29
The Usual Suspects,629,6000000,23341568,21.283,106,8.2,9312
American History X,73,20000000,23875127,24.889,119,8.355,10362
Kaithi,587030,0,0,9.607,147,7.5,78
Joker,475557,55000000,1074458282,60.258,122,8.172,22656
Witness for the Prosecution,37257,3000000,9000000,17.353,116,8.223,1138
Tengoku to jigoku,910691,0,0,0.6,88,0.0,0
Sardar Udham,598826,0,0,8.994,163,7.039,51
Drishyam 2,1029827,0,0,9.287,142,8.014,36
Heat,949,60000000,187436818,48.157,170,7.899,6222
Scarface,111,25000000,66023329,59.69,169,8.166,10298
Reservoir Dogs,500,1200000,2859750,30.621,99,8.14,12901
A Clockwork Orange,185,2200000,26589000,30.195,137,8.2,11567
The Sting,9277,5500000,159616327,13.528,129,8.018,2226
Once Upon a Time in America,311,30000000,5472914,31.503,229,8.446,4643
Drishyam 2,1029827,0,0,9.287,142,8.014,36
To Kill a Mockingbird,595,2000000,13129846,14.979,129,8.012,2268
Double Indemnity,996,927262,2500000,10.876,107,8.145,1531
Vikram,578060,0,0,1.188,173,7.0,1
K.G.F: Chapter 2,587412,13000000,90410749,14.383,168,7.649,101
Drishyam,352173,0,0,10.292,163,7.778,327
The Wolf of Wall Street,106646,100000000,392000000,123.768,180,8.037,21503
Taxi Driver,103,1300000,28570902,34.852,114,8.166,10593
No Country for Old Men,6977,25000000,171627166,26.217,122,7.935,10607
Batman Begins,272,150000000,374218673,46.688,140,7.695,18983
Snatch,107,10000000,83557872,28.161,103,7.803,7999
Kill Bill: Vol. 1,24,30000000,180906076,30.601,111,7.971,15744
Casino,524,50000000,116112375,21.237,179,8.018,5018
"Lock, Stock and Two Smoking Barrels",100,1350000,28356188,12.227,105,8.134,5898
L.A. Confidential,2118,35000000,126216940,17.942,138,7.784,4291
Gangs of Wasseypur,117691,1400000,4100000,10.322,160,7.158,306
Drishyam,352173,0,0,10.292,163,7.778,327
Dial M for Murder,521,1400000,3000000,11.244,105,8.028,2223
Andhadhun,534780,4500000,40000000,8.748,139,7.654,403
Vikram Vedha,432139,0,0,8.169,147,7.386,145
Z,623520,0,0,7.681,83,6.153,183
K.G.F: Chapter 1,564147,0,0,13.673,156,7.506,163
Paan Singh Tomar,96398,0,0,7.476,135,7.262,106
Prisoners,146233,46000000,122126687,32.911,153,8.079,10265
Catch Me If You Can,640,52000000,352114312,44.15,141,7.965,13847
The Grand Budapest Hotel,120467,30000000,174600318,24.731,100,8.056,13333
"Three Billboards Outside Ebbing, Missouri",359940,15000000,160192031,17.841,115,8.091,9162
The Big Lebowski,115,15000000,46969409,25.68,117,7.844,10069
Fargo,275,7000000,60611975,14.39,98,7.87,7016
Spotlight,314365,20000000,98690254,13.602,129,7.8,7590
Salinui chueok,11423,2800000,26000000,21.911,131,8.063,3156
La haine,406,2600000,15300000,15.29,98,8.1,3420
Cool Hand Luke,903,3200000,16217773,16.572,127,7.745,1194
In the Name of the Father,7984,13000000,65796862,13.237,133,7.908,1509
On the Waterfront,654,910000,9600000,10.166,108,7.967,1335
Paper Moon,11293,2500000,30900000,7.246,102,7.872,591
Les quatre cents coups,147,0,0,13.886,99,8.072,1841
Hera Pheri,21614,0,0,6.04,156,7.0,201
Les diaboliques,827,0,0,9.445,117,7.88,797
White Heat,15794,1300000,3483000,10.443,114,7.7,393
Dom za vesanje,20123,0,0,8.154,142,7.7,308
Rang De Basanti,7913,2200000,11502151,7.803,157,7.153,372
Article 15,597089,0,0,6.288,130,7.6,122
Pink,158346,0,0,0.618,82,5.0,8
Talvar,353464,0,0,6.95,132,7.493,136
Du rififi chez les hommes,934,200000,460000,7.748,118,7.863,460
A Wednesday,19703,1400000,3500000,7.446,103,6.987,264
Eskiya,26900,0,0,4.317,128,7.396,265
Zootopia,269149,150000000,1023784195,65.138,109,7.747,14848
Sin City,187,40000000,158733820,21.868,124,7.437,7319
Dog Day Afternoon,968,1800000,46665856,15.154,125,7.831,2547
Slumdog Millionaire,12405,15000000,378410542,17.07,120,7.734,9654
Contratiempo,411088,4000000,30000000,33.059,107,8.125,4079
Butch Cassidy and the Sundance Kid,642,6000000,102308889,20.49,111,7.6,1887
Kill Bill: Vol. 2,393,30000000,152159461,24.48,136,7.877,12576
Dogville,553,10000000,16680836,17.672,178,7.787,2104
Chung Hing sam lam,11104,160000,0,20.293,103,8.015,1416
Papillon,433498,0,10060903,15.587,134,7.333,1696
The Maltese Falcon,963,375000,1772000,14.108,100,7.756,1416
The Night of the Hunter,3112,795000,0,10.864,93,7.876,1304
Mou gaan dou,11647,125000,3208262,10.768,119,7.217,338
Tropa de Elite,7347,4000000,14759148,42.284,115,8.068,2033
Touch of Evil,1480,829000,2247500,11.426,111,7.774,1231
Out of the Past,678,0,0,11.097,97,7.642,479
"Crna macka, beli macor",1075,0,0,9.609,127,7.675,633
Haider,280795,7000000,11500000,8.943,150,7.125,196
Tropa de Elite 2: O Inimigo Agora ï¿½ Outro,47931,0,63027681,23.435,115,7.826,1622
Kind Hearts and Coronets,11898,0,0,10.569,104,7.685,441
Special Chabbis,165904,7100000,18000000,6.738,144,7.328,166
Knives Out,546554,40000000,309232797,52.251,131,7.853,10661
In Bruges,8321,15000000,34533783,17.092,108,7.475,4483
True Romance,319,12500000,12600000,18.631,120,7.5,2348
Mystic River,322,25000000,156822020,20.6,138,7.746,5782
Fantastic Mr. Fox,10315,40000000,46471023,25.65,87,7.776,4539
The Blues Brothers,525,27000000,115229890,15.604,133,7.745,3696
Carlito's Way,6075,30000000,63848322,14.252,144,7.828,2754
Bound by Honor,9702,35000000,0,45.168,190,8.113,1055
The Big Sleep,910,1600000,4900000,11.858,114,7.65,868
Manbiki kazoku,505192,0,0,12.388,120,7.9,1754
Serbuan maut 2: Berandal,180299,4500000,6566916,19.741,150,7.636,2061
Dancer in the Dark,16,12800000,40031879,14.853,141,7.881,1551
Rope,1580,1500000,2200000,11.635,81,7.965,2290
Strangers on a Train,845,1200000,7000000,11.128,101,7.705,1399
Once Were Warriors,527,0,1608570,9.444,99,7.4,343
The Killing,247,320000,0,9.913,85,7.684,1269
Mildred Pierce,3309,1453000,5638000,8.962,111,7.653,324
Arsenic and Old Lace,212,1120175,0,7.945,118,7.6,783
The Thin Man,3529,226408,1423000,6.854,91,7.5,378
In Cold Blood,18900,3500000,13007551,8.395,134,7.5,305
Bin-jip,1280,0,3403957,14.215,88,7.805,995
Nueve reinas,18079,1300000,12413888,10.141,114,7.758,589
Le cercle rouge,11657,0,0,9.233,140,7.619,528
The Big Heat,14580,0,0,7.678,89,7.68,415
Baby,314389,0,0,7.579,160,6.8,143
The Batman,414906,185000000,770945583,202.554,177,7.712,7889
The Gentlemen,522627,22000000,115171795,33.965,113,7.684,4839
The Irishman,398978,159000000,968853,27.192,209,7.623,5998
The Hateful Eight,273248,44000000,155760117,30.938,188,7.744,12938
Crash,1640,6500000,98410061,18.688,112,7.236,3086
Nightcrawler,242582,8500000,50300000,42.904,118,7.701,9759
Taken,8681,25000000,226830568,44.606,94,7.383,10136
American Gangster,4982,100000000,266465037,32.767,157,7.576,4768
The Girl with the Dragon Tattoo,65754,90000000,232617430,21.784,158,7.357,6282
Ang-ma-reul bo-at-da,49797,0,0,19.711,144,7.798,2134
The Fugitive,5503,44000000,368875760,25.347,131,7.457,3673
Boyz n the Hood,650,6500000,57504069,25.113,112,7.6,1675
The Untouchables,117,25000000,76270454,17.386,119,7.768,5015
The King of Comedy,262,20000000,2536000,15.64,109,7.796,1911
A Bronx Tale,1607,10000000,17287898,64.255,121,7.8,1994
Captain Phillips,109424,55000000,218791811,14.355,134,7.6,6236
La migliore offerta,152742,13500000,19255873,9.1,131,7.838,2586
Changeling,3580,55000000,113020255,17.341,141,7.6,3761
Mississippi Burning,1632,15000000,34604000,14.751,128,7.677,1405
Gangubai Kathiawadi,664332,0,0,13.954,157,7.428,97
Madeo,822845,0,0,0.6,62,0.0,0
Gaslight,13528,2068000,0,12.294,114,7.53,387
Lilja 4-ever,12093,4600000,1007747,9.799,109,7.7,461
The Day of the Jackal,4909,0,16056255,13.744,143,7.531,453
Cowboy Bebop: Tengoku no tobira,11299,0,0,14.433,115,7.7,725
The Asphalt Jungle,16958,1232000,0,9.081,112,7.544,396
Dip huet seung hung,10835,0,2350174,8.808,110,7.656,636
Badla,904789,0,0,0.6,112,0.0,0
Bir Zamanlar Anadolu'da,74879,0,138730,6.943,157,7.46,400
Knockin' on Heaven's Door,158,0,0,8.507,87,7.646,421
Wind River,395834,11000000,44998252,30.509,107,7.429,4578
Primal Fear,1592,30000000,102616183,23.497,129,7.649,2892
Zodiac,1949,65000000,84785914,28.496,157,7.518,9232
Training Day,2034,45000000,104876233,29.81,122,7.471,5145
Road to Perdition,4147,80000000,181001478,16.599,117,7.355,3192
Ocean's Eleven,161,85000000,450717150,33.294,116,7.423,10445
Blue Velvet,793,6000000,8618766,16.119,120,7.637,2850
Man on Fire,9509,70000000,130293714,33.825,146,7.443,4497
"O Brother, Where Art Thou?",134,26000000,71870729,15.94,107,7.328,3632
3:10 to Yuma,5176,55000000,70016220,16.288,122,7.198,3131
Who Framed Roger Rabbit,856,70000000,329803958,24.446,104,7.514,5036
Lucky Number Slevin,186,27000000,56308881,17.043,110,7.476,3622
Glengarry Glen Ross,9504,12500000,10725228,13.919,100,7.384,1116
Donnie Brasco,9366,35000000,124909762,15.658,127,7.5,3886
Serpico,9040,3000000,29800000,15.678,130,7.546,1645
The French Connection,1051,1800000,41158757,13.534,104,7.539,1529
Bonnie and Clyde,475,2500000,50700000,16.548,110,7.494,1379
Dirty Harry,984,4000000,35976000,16.988,102,7.5,2095
This Is England,11798,2380000,8176544,3.005,101,7.505,1085
Badlands,3133,450000,0,10.268,94,7.56,1009
Miller's Crossing,379,14000000,5080409,10.595,115,7.48,1411
Ajeossi,51608,1255000,43059790,21.859,119,7.677,1114
Lola rennt,104,1530000,7267585,14.216,81,7.3,1913
ï¿½ bout de souffle,269,0,0,13.636,90,7.594,1561
Scarface,111,25000000,66023329,59.69,169,8.166,10298
Lat sau san taam,11782,4500000,0,13.487,126,7.563,656
Down by Law,1554,0,0,8.847,106,7.364,617
Key Largo,11016,0,0,9.313,100,7.524,441
Vera Drake,11109,11000000,13300000,7.974,125,7.189,307
Hana-bi,5910,0,0,9.904,103,7.679,556
American Psycho,1359,7000000,34266564,42.045,102,7.395,9330
Sicario,273481,30000000,84872444,32.849,122,7.387,7561
Inside Man,388,45000000,186003591,31.531,129,7.397,5122
Baby Driver,339403,34000000,226945087,36.592,113,7.455,14257
Hell or High Water,338766,12000000,37589296,11.609,102,7.302,4020
Pulp Fiction,680,8000000,214179088,56.482,154,8.49,25094
777 Charlie,634120,0,0,11.727,166,7.545,22
The Lord of the Rings: The Fellowship of the Ring,120,93000000,871368364,59.198,179,8.396,22622
Fight Club,550,63000000,100853753,64.925,139,8.433,26341
Forrest Gump,13,55000000,677387716,54.17,142,8.481,24575
The Lord of the Rings: The Two Towers,121,79000000,926287400,57.144,179,8.378,19667
Jai Bhim,855400,0,0,6.969,164,7.456,80
Rocketry: The Nambi Effect,607145,7900000,3900000,7.465,154,7.643,20
GoodFellas,769,25000000,46835000,33.131,145,8.5,11217
One Flew Over the Cuckoo's Nest,510,3000000,108981275,27.717,133,8.422,9344
The Kashmir Files,900783,0,0,9.131,170,7.474,38
Soorarai Pottru,595228,0,0,7.588,149,7.805,59
Interstellar,157336,165000000,701729206,113.892,169,8.4,31281
The Silence of the Lambs,274,19000000,272742922,9.605,119,8.346,14471
Se7en,807,33000000,327311859,39.407,127,8.367,18709
The Green Mile,497,60000000,286801374,59.087,189,8.508,15351
Saving Private Ryan,857,70000000,481840909,63.753,169,8.208,14157
Cidade de Deus,598,3300000,30641770,27.823,130,8.424,6439
La vita ï¿½ bella,637,20000000,230098753,36.024,116,8.455,11858
It's a Wonderful Life,1585,3180000,9644124,27.027,130,8.3,3716
Shichinin no samurai,346,2000000,346300,20.801,207,8.461,3029
Seppuku,76659,0,0,1.314,42,4.6,9
Sita Ramam,894803,0,0,7.186,158,7.7,37
Whiplash,244786,3300000,13092000,46.714,107,8.377,13402
Gladiator,98,103000000,465361176,52.353,155,8.206,16401
The Departed,1422,90000000,291465000,27.717,151,8.166,13369
The Prestige,1124,40000000,109676311,30.462,130,8.202,14124
Apocalypse Now,28,31500000,150000000,27.985,147,8.281,7195
Lï¿½on,578672,0,0,5.737,107,5.6,29
The Usual Suspects,629,6000000,23341568,21.283,106,8.2,9312
The Lion King,8587,45000000,763455561,106.827,89,8.258,16484
American History X,73,20000000,23875127,24.889,119,8.355,10362
The Pianist,423,35000000,120072577,34.323,150,8.384,8028
The Intouchables,77338,13000000,426588510,41.178,113,8.275,15675
Casablanca,289,878000,10462500,18.646,102,8.172,4700
Hotaru no haka,76826,0,0,9.57,148,7.831,83
Nuovo Cinema Paradiso,11216,5000000,11990401,20.16,124,8.5,3731
Modern Times,3082,1500000,0,16.073,87,8.305,3261
City Lights,901,1500000,4250000,11.044,87,8.336,1855
96,441717,0,0,5.429,159,7.596,83
Avengers: Endgame,299534,356000000,2794731755,102.255,181,8.3,23083
Joker,475557,55000000,1074458282,60.258,122,8.172,22656
American Beauty,14,15000000,356296601,23.131,122,8.028,10956
Django Unchained,68718,100000000,425368238,39.64,165,8.163,24001
Oldeuboi,670,3000000,15194593,20.916,120,8.268,7437
The Dark Knight Rises,49026,250000000,1081041287,56.826,165,7.775,20767
The Shining,694,19000000,44781695,35.824,144,8.222,15668
Braveheart,197,72000000,213216216,29.945,178,7.93,9070
Idi i smotri,25237,0,168817,14.375,142,8.296,1134
Hamilton,556574,0,0,11.08,160,8.236,1125
Amadeus,279,18000000,51973029,18.225,180,8.038,3680
Kimi no na wa.,372058,0,357986087,103.411,106,8.521,9767
3 Idiots,20453,9000000,70000000,25.077,170,7.983,2066
The Lives of Others,582,2000000,70000000,14.458,137,8.039,3198
Das Boot,387,14000000,85000000,18.329,150,8.077,1892
Sunset Blvd.,664159,0,0,0.6,2,0.0,0
